,City,Country,Max Temp,Lat,Lng,Hotel Name
418,Tacuarembo,UY,71.42,-31.7333,-55.9833,Ruta 5 Brigadier General Fructuoso Rivera
420,Beruwala,LK,77.07,6.4788,79.9828,Laluna Ayurveda Resort
423,Puerto Baquerizo Moreno,EC,78.82,-0.9,-89.6,Paraíso Insular
426,Tual,ID,82.09,-5.6667,132.75,Suita
428,Sungaipenuh,ID,77.32,-2.0833,101.3833,Grand Kerinci Hotel
430,Lazaro Cardenas,MX,73.96,17.9583,-102.2,City Express
431,Vila Velha,BR,78.94,-20.3297,-40.2925,Hotel Minuano
433,Bosaso,SO,72.01,11.2842,49.1816,SBC
434,Miracema Do Tocantins,BR,77.29,-9.5618,-48.3967,SBC
435,Hualmay,PE,73.85,-11.0964,-77.6139,Kotosh
438,Faanui,PF,81.75,-16.4833,-151.75,Four Seasons Resort Bora Bora
439,Alyangula,AU,85.17,-13.8483,136.4192,Bougainvillea Drive
440,Porto Nacional,BR,80.6,-10.7081,-48.4172,Capim Dourado
442,Rockhampton,AU,87.69,-23.3833,150.5,Kalka Hotel
444,General Roca,AR,70.63,-39.0333,-67.5833,Eduardo Gelonch
446,Kihei,US,78.82,20.785,-156.4656,South Kihei Road
454,Ternate,ID,82.33,0.8,127.4,Bukit Pelangi
459,Ampanihy,MG,73.78,-24.7,44.75,Hotel FILAOS
462,Talara,PE,81.36,-4.5772,-81.2719,Hostal Galicia
465,Djibo,BF,72.59,14.1022,-1.6306,Le berger
470,Riwaka,NZ,73.0,-41.0833,173.0,Kimi Ora Spa Resort
